ID,Group,Distance,Intensity,Treatment
2199,control,35,89.5385,clinostat
2199,control,36,89.6923,clinostat
2199,control,37,89.6154,clinostat
2199,control,38,89.7692,clinostat
2199,control,39,90,clinostat
2199,control,40,89.1538,clinostat
2199,control,41,86.9231,clinostat
2199,control,42,82.9231,clinostat
2199,control,43,79.5385,clinostat
2199,control,44,77.6154,clinostat
2199,control,45,76.3077,clinostat
2199,control,46,75.2308,clinostat
2199,control,47,74.3077,clinostat
2199,control,48,73.1538,clinostat
2199,control,49,71.2308,clinostat
2199,control,50,68.8462,clinostat
2199,control,51,66.3846,clinostat
2199,control,52,64.9231,clinostat
2199,control,53,63.9231,clinostat
2199,control,54,62.3077,clinostat
2199,control,55,60.5385,clinostat
2199,control,56,59.1538,clinostat
2199,control,57,58.3077,clinostat
2199,control,58,56.6923,clinostat
2199,control,59,55.0769,clinostat
2199,control,60,52.7692,clinostat
2199,control,61,51.0769,clinostat
2199,control,62,50.1538,clinostat
2199,control,63,48.8462,clinostat
2199,control,64,46.6923,clinostat
2199,control,65,44,clinostat
2199,control,66,41.8462,clinostat
2199,control,67,40.3846,clinostat
2199,control,68,39.7692,clinostat
2199,control,69,39.3846,clinostat
2199,control,70,37.9231,clinostat
2199,control,71,35.1538,clinostat
2199,control,72,32.7692,clinostat
2199,control,73,31.4615,clinostat
2199,control,74,30.3077,clinostat
2199,control,75,29.9231,clinostat
2199,control,76,29.3077,clinostat
2199,control,77,28.3846,clinostat
2200,control,0,28.9286,clinostat
2200,control,1,30.2857,clinostat
2200,control,2,33,clinostat
2200,control,3,35.7857,clinostat
2200,control,4,39.2857,clinostat
2200,control,5,43.5,clinostat
2200,control,6,48,clinostat
2200,control,7,50.4286,clinostat
2200,control,8,52.9286,clinostat
2200,control,9,55.7857,clinostat
2200,control,10,58.3571,clinostat
2200,control,11,58.2857,clinostat
2200,control,12,57.9286,clinostat
2200,control,13,59.0714,clinostat
2200,control,14,59.7143,clinostat
2200,control,15,61.2143,clinostat
2200,control,16,63.2143,clinostat
2200,control,17,65,clinostat
2200,control,18,66.4286,clinostat
2200,control,19,68.6429,clinostat
2200,control,20,70.7143,clinostat
2200,control,21,73,clinostat
2200,control,22,75.5,clinostat
2200,control,23,78.8571,clinostat
2200,control,24,80.2857,clinostat
2200,control,25,83.2857,clinostat
2200,control,26,87.2857,clinostat
2200,control,27,89,clinostat
2200,control,28,90,clinostat
2200,control,29,91.2857,clinostat
2200,control,30,93,clinostat
2200,control,31,95.6429,clinostat
2200,control,32,96,clinostat
2200,control,33,95.7857,clinostat
2200,control,34,96.5714,clinostat
2200,control,35,96.5,clinostat
2200,control,36,98.2143,clinostat
2200,control,37,100.6429,clinostat
2200,control,38,103,clinostat
2200,control,39,107,clinostat
2200,control,40,108.2857,clinostat
2200,control,41,107.4286,clinostat
2200,control,42,107.0714,clinostat
2200,control,43,106.3571,clinostat
2200,control,44,105.7857,clinostat
2200,control,45,105.5,clinostat
2200,control,46,105,clinostat
2200,control,47,103.9286,clinostat
2200,control,48,103.9286,clinostat
2200,control,49,103.9286,clinostat
2200,control,50,103.6429,clinostat
2200,control,51,103.4286,clinostat
2200,control,52,103.7857,clinostat
2200,control,53,104.7857,clinostat
2200,control,54,105.2143,clinostat
2200,control,55,105.4286,clinostat
2200,control,56,106.2857,clinostat
2200,control,57,107.2143,clinostat
2200,control,58,107.7857,clinostat
2200,control,59,105.6429,clinostat
2200,control,60,104.4286,clinostat
2200,control,61,105.2857,clinostat
2200,control,62,105.5714,clinostat
2200,control,63,105,clinostat
2200,control,64,104.1429,clinostat
2200,control,65,103.3571,clinostat
2200,control,66,102.2143,clinostat
2200,control,67,101.9286,clinostat
2200,control,68,102.5,clinostat
2200,control,69,98.6429,clinostat
2200,control,70,93.1429,clinostat
2200,control,71,86.5714,clinostat
2200,control,72,78.9286,clinostat
2200,control,73,74.4286,clinostat
2200,control,74,71,clinostat
2200,control,75,66.3571,clinostat
2200,control,76,62.1429,clinostat
2200,control,77,55.5714,clinostat
2200,control,78,51.2143,clinostat
2200,control,79,50.0714,clinostat
2200,control,80,48.8571,clinostat
2200,control,81,45.7857,clinostat
2200,control,82,43.2857,clinostat
2200,control,83,43.1429,clinostat
2200,control,84,42.7857,clinostat
2200,control,85,42.8571,clinostat
2200,control,86,42.5714,clinostat
2200,control,87,41.5,clinostat
2200,control,88,40.4286,clinostat
2200,control,89,40.0714,clinostat
2200,control,90,39.8571,clinostat
2200,control,91,40.1429,clinostat
2200,control,92,40.4286,clinostat
2200,control,93,40,clinostat
2200,control,94,39.2857,clinostat
2200,control,95,38.7857,clinostat
2200,control,96,36.4286,clinostat
2200,control,97,34,clinostat
2200,control,98,32.8571,clinostat
2200,control,99,32.6429,clinostat
2200,control,100,32.9286,clinostat
2200,control,101,32.1429,clinostat
2200,control,102,31,clinostat
2202,control,0,28.8889,clinostat
2202,control,1,30.7778,clinostat
2202,control,2,31.7778,clinostat
2202,control,3,32.1111,clinostat
2202,control,4,32.3333,clinostat
2202,control,5,33.0556,clinostat
2202,control,6,34.3889,clinostat
2202,control,7,35.7222,clinostat
2202,control,8,36.6111,clinostat
2202,control,9,37,clinostat
2202,control,10,37.8889,clinostat
2202,control,11,39.9444,clinostat
2202,control,12,40.6667,clinostat
2202,control,13,41.1111,clinostat
2202,control,14,40.8333,clinostat
2202,control,15,40.8889,clinostat
2202,control,16,41.5,clinostat
2202,control,17,41.7778,clinostat
2202,control,18,42.3889,clinostat
2202,control,19,42.7778,clinostat
2202,control,20,43.3333,clinostat
2202,control,21,44.1111,clinostat
2202,control,22,44.6111,clinostat
2202,control,23,45.4444,clinostat
2202,control,24,46.9444,clinostat
2202,control,25,48.6667,clinostat
2202,control,26,50.9444,clinostat
2202,control,27,53.1667,clinostat
2202,control,28,54.8889,clinostat
2202,control,29,58.3889,clinostat
2202,control,30,63.3333,clinostat
2202,control,31,68.5556,clinostat
2202,control,32,72.2222,clinostat
2202,control,33,74.6667,clinostat
2202,control,34,78.8889,clinostat
2202,control,35,83.8333,clinostat
2202,control,36,87.6667,clinostat
2202,control,37,89.1111,clinostat
2202,control,38,91.2778,clinostat
2202,control,39,94.5556,clinostat
2202,control,40,97.4444,clinostat
2202,control,41,99.1667,clinostat
2202,control,42,99.3333,clinostat
2202,control,43,99.5556,clinostat
2202,control,44,100.1667,clinostat
2202,control,45,100.5,clinostat
2202,control,46,101.1111,clinostat
2202,control,47,101.8889,clinostat
2202,control,48,102.3889,clinostat
2202,control,49,103.4444,clinostat
2202,control,50,104.6667,clinostat
2202,control,51,105.8889,clinostat
2202,control,52,106.8889,clinostat
2202,control,53,107.5,clinostat
2202,control,54,107.8889,clinostat
2202,control,55,108,clinostat
2202,control,56,108.8333,clinostat
2202,control,57,109.7778,clinostat
2202,control,58,109.9444,clinostat
2202,control,59,109.2778,clinostat
2202,control,60,109.1111,clinostat
2202,control,61,109.5556,clinostat
2202,control,62,109.8333,clinostat
2202,control,63,108.6111,clinostat
2202,control,64,107.2222,clinostat
2202,control,65,105.5,clinostat
2202,control,66,103.4444,clinostat
2202,control,67,101.3889,clinostat
2202,control,68,99.4444,clinostat
2202,control,69,97.6667,clinostat
2202,control,70,95.7222,clinostat
2202,control,71,93.7778,clinostat
2202,control,72,92.4444,clinostat
2202,control,73,91.5556,clinostat
2202,control,74,91.6667,clinostat
2202,control,75,92.8333,clinostat
2202,control,76,93.1667,clinostat
2202,control,77,92.5,clinostat
2202,control,78,90.4444,clinostat
2202,control,79,88.1111,clinostat
2202,control,80,83.9444,clinostat
2202,control,81,78.3333,clinostat
2202,control,82,71.8333,clinostat
2202,control,83,63.5556,clinostat
2202,control,84,54.2778,clinostat
2202,control,85,49.1111,clinostat
2202,control,86,46.9444,clinostat
2202,control,87,47,clinostat
2202,control,88,47.7222,clinostat
2202,control,89,48.2778,clinostat
2202,control,90,47.7222,clinostat
2202,control,91,47.5556,clinostat
2202,control,92,48.7222,clinostat
2202,control,93,50.2778,clinostat
2202,control,94,51.6667,clinostat
2202,control,95,51.8889,clinostat
2202,control,96,51.8889,clinostat
2202,control,97,52.2778,clinostat
2202,control,98,53,clinostat
2202,control,99,54.1667,clinostat
2202,control,100,56.4444,clinostat
2202,control,101,58.7222,clinostat
2202,control,102,59.7778,clinostat
2202,control,103,59.6111,clinostat
2202,control,104,58.5556,clinostat
2202,control,105,57.1111,clinostat
2202,control,106,55.2222,clinostat
2202,control,107,52.5,clinostat
2202,control,108,49.1667,clinostat
2202,control,109,45.8333,clinostat
2202,control,110,42.3333,clinostat
2202,control,111,38.0556,clinostat
2202,control,112,33.9444,clinostat
