ID,Treatment,distance,intensity
1568,ground,103,52.6944
1568,ground,104,52.2778
1568,ground,105,50.6944
1568,ground,106,49.4444
1568,ground,107,48.8333
1568,ground,108,48.1389
1568,ground,109,47.8611
1568,ground,110,47.5
1568,ground,111,47.0556
1568,ground,112,46.0556
1568,ground,113,44.8889
1568,ground,114,44.1944
1568,ground,115,44.3889
1568,ground,116,44.7222
1568,ground,117,44.8889
1568,ground,118,44.9722
1568,ground,119,45.0556
1568,ground,120,44.7222
1568,ground,121,44.25
1568,ground,122,43.5833
1568,ground,123,42.5833
1568,ground,124,41.3889
1568,ground,125,40.5278
1568,ground,126,40.5278
1568,ground,127,40.75
1568,ground,128,40.6944
1568,ground,129,40.4167
1568,ground,130,39.2222
1568,ground,131,38.2222
1568,ground,132,37.1111
1568,ground,133,36.8333
1568,ground,134,36.5
1568,ground,135,35.6944
1568,ground,136,34.6667
1568,ground,137,34.0556
1568,ground,138,33.8889
1568,ground,139,33.5278
1568,ground,140,33.3889
1568,ground,141,33.1667
1568,ground,142,33.0556
1568,ground,143,33
1568,ground,144,32.6667
1568,ground,145,31.9722
1569,ground,0,18.4419
1569,ground,1,19.1628
1569,ground,2,20.0698
1569,ground,3,20.093
1569,ground,4,21.0698
1569,ground,5,21.7907
1569,ground,6,23.0465
1569,ground,7,24.3721
1569,ground,8,25.0465
1569,ground,9,26.1395
1569,ground,10,26.3953
1569,ground,11,26.7442
1569,ground,12,26.7442
1569,ground,13,28.2558
1569,ground,14,29.3488
1569,ground,15,29.8605
1569,ground,16,30.4651
1569,ground,17,31.4651
1569,ground,18,32.4186
1569,ground,19,33.4651
1569,ground,20,35
1569,ground,21,36.1628
1569,ground,22,38.6047
1569,ground,23,40.8837
1569,ground,24,42
1569,ground,25,42.8605
1569,ground,26,44.0233
1569,ground,27,44.9302
1569,ground,28,45.093
1569,ground,29,45.0465
1569,ground,30,45.1628
1569,ground,31,45.1628
1569,ground,32,45.093
1569,ground,33,44.9535
1569,ground,34,44.4419
1569,ground,35,44.1163
1569,ground,36,43.907
1569,ground,37,44
1569,ground,38,44.3256
1569,ground,39,44.3488
1569,ground,40,43.9535
1569,ground,41,44.2791
1569,ground,42,46.093
1569,ground,43,47.7674
1569,ground,44,48.186
1569,ground,45,48.6744
1569,ground,46,49.6047
1569,ground,47,50.8605
1569,ground,48,51.8372
1569,ground,49,53.2093
1569,ground,50,54.9302
1569,ground,51,56.2326
1569,ground,52,57.1395
1569,ground,53,59.3256
1569,ground,54,61.3488
1569,ground,55,62.2093
1569,ground,56,62.5581
1569,ground,57,63
1569,ground,58,63.2093
1569,ground,59,63.0698
1569,ground,60,63.3256
1569,ground,61,64.4884
1569,ground,62,65.6977
1569,ground,63,66.814
1569,ground,64,67.7907
1569,ground,65,69.7442
1569,ground,66,72.4186
1569,ground,67,74.4651
1569,ground,68,76.4419
1569,ground,69,78.3023
1569,ground,70,82.0465
1569,ground,71,84.6744
1569,ground,72,86.2326
1569,ground,73,87.8372
1569,ground,74,89.8605
1569,ground,75,91.6279
1569,ground,76,92.907
1569,ground,77,94.4186
1569,ground,78,96.6279
1569,ground,79,98.2326
1569,ground,80,99.0233
1569,ground,81,100.4884
1569,ground,82,101.7442
1569,ground,83,102.2326
1569,ground,84,101.4884
1569,ground,85,101.7442
1569,ground,86,101.5116
1569,ground,87,101
1569,ground,88,100.6977
1569,ground,89,99.7209
1569,ground,90,98.907
1569,ground,91,98.8372
1569,ground,92,97.8837
1569,ground,93,97.0465
1569,ground,94,96.0465
1569,ground,95,96.0698
1569,ground,96,95.6977
1569,ground,97,94.6279
1569,ground,98,93.2558
1569,ground,99,92.8372
1569,ground,100,92.7674
1569,ground,101,93.2791
1569,ground,102,92.8837
1569,ground,103,91.5814
1569,ground,104,90.3023
1569,ground,105,88.6977
1569,ground,106,86.7442
1569,ground,107,84.3488
1569,ground,108,82.0698
1569,ground,109,80.7907
1569,ground,110,77.6977
1569,ground,111,75.4651
1569,ground,112,73.9767
1569,ground,113,71.9767
1569,ground,114,70.2791
1569,ground,115,69.8372
1569,ground,116,69.9767
1569,ground,117,69.7442
1569,ground,118,69.4186
1569,ground,119,68.5814
1569,ground,120,67.7442
1569,ground,121,65.7209
1569,ground,122,62.2093
1569,ground,123,59.7442
1569,ground,124,57.7209
1569,ground,125,55.9767
