ID,Group,Distance,Intensity
1615,control,39,87.3103
1615,control,40,83.8448
1615,control,41,80.1724
1615,control,42,76.2241
1615,control,43,71.0862
1615,control,44,66.1379
1615,control,45,61.1724
1615,control,46,55.8966
1615,control,47,51.3621
1616,control,0,53.4828
1616,control,1,55.6207
1616,control,2,58.3793
1616,control,3,61.1034
1616,control,4,63.6724
1616,control,5,66.2931
1616,control,6,69.9655
1616,control,7,73.7241
1616,control,8,76.0517
1616,control,9,78.9655
1616,control,10,82.1897
1616,control,11,84.431
1616,control,12,86.569
1616,control,13,90.3276
1616,control,14,94.2414
1616,control,15,95.569
1616,control,16,96.7069
1616,control,17,99.8793
1616,control,18,103.931
1616,control,19,107.8793
1616,control,20,110.7241
1616,control,21,112.569
1616,control,22,113.069
1616,control,23,112.7931
1616,control,24,112.6724
1616,control,25,112.3966
1616,control,26,112.1207
1616,control,27,112.1897
1616,control,28,113.6724
1616,control,29,115.6897
1616,control,30,117.3276
1616,control,31,118.6034
1616,control,32,119.4655
1616,control,33,119.8621
1616,control,34,119.8276
1616,control,35,119.1207
1616,control,36,118.1552
1616,control,37,117.4483
1616,control,38,115.2069
1616,control,39,111.3448
1616,control,40,107.931
1616,control,41,105.3276
1616,control,42,102.3793
1616,control,43,98.0345
1616,control,44,95.0517
1616,control,45,92.9655
1616,control,46,91.0517
1616,control,47,90.4828
1616,control,48,89.1379
1616,control,49,85.6034
1616,control,50,81.1552
1616,control,51,77.4828
1616,control,52,73.8966
1616,control,53,69.7069
1616,control,54,66.2069
1616,control,55,63.5345
1616,control,56,61.0172
1617,control,0,48.1831
1617,control,1,51.7183
1617,control,2,54.8873
1617,control,3,58.2535
1617,control,4,60.8873
1617,control,5,62.8732
1617,control,6,65.1831
1617,control,7,67.5634
1617,control,8,71.0986
1617,control,9,73.1549
1617,control,10,74.3239
1617,control,11,76.0563
1617,control,12,80.831
1617,control,13,86.4648
1617,control,14,92.0986
1617,control,15,94.8873
1617,control,16,97.2535
1617,control,17,99.7747
1617,control,18,100.6479
1617,control,19,100.3099
1617,control,20,100.3662
1617,control,21,101.169
1617,control,22,103.2817
1617,control,23,106.3099
1617,control,24,109.0423
1617,control,25,111.0704
1617,control,26,112.1268
1617,control,27,111.4084
1617,control,28,110.8451
1617,control,29,110.6761
1617,control,30,110.2535
1617,control,31,110.6479
1617,control,32,110.5916
1617,control,33,109.9296
1617,control,34,109.6479
1617,control,35,110.0704
1617,control,36,111.2253
1617,control,37,111.1831
1617,control,38,111.4084
1617,control,39,111.7606
1617,control,40,111.7606
1617,control,41,110.9296
1617,control,42,109.9437
1617,control,43,108.9577
1617,control,44,108.3944
1617,control,45,107.6338
1617,control,46,106.7324
1617,control,47,106.6479
1617,control,48,105.3662
1617,control,49,104.8732
1617,control,50,105.6761
1617,control,51,105.4366
1617,control,52,103.7747
1617,control,53,100.9155
1617,control,54,98.8592
1617,control,55,97.4084
1617,control,56,97.5916
1617,control,57,98.5493
1617,control,58,98.0141
1617,control,59,95.7324
1617,control,60,92.7747
1617,control,61,86.8592
1617,control,62,81.7324
1617,control,63,77.7606
1617,control,64,73.5634
1617,control,65,71.2817
1617,control,66,70
1617,control,67,69.0986
1617,control,68,67.7465
1617,control,69,66.0704
1617,control,70,64.3662
1618,control,0,52.9091
1618,control,1,55.197
1618,control,2,58.2727
1618,control,3,61.4394
1618,control,4,64.5909
1618,control,5,68.0758
1618,control,6,72.6212
1618,control,7,78.303
1618,control,8,83.8636
1618,control,9,88.0909
1618,control,10,91.5758
1618,control,11,94.5303
1618,control,12,96.4545
1618,control,13,96.697
1618,control,14,97.0455
1618,control,15,99.0303
1618,control,16,102.3182
1618,control,17,105.5758
1618,control,18,108.0303
1618,control,19,109.9848
1618,control,20,111.8182
1618,control,21,113.303
1618,control,22,114.5758
1618,control,23,114.8485
1618,control,24,115.0455
1618,control,25,114.9848
1618,control,26,115.197
1618,control,27,115.6212
1618,control,28,116.0758
1618,control,29,116.4091
1618,control,30,116.5455
1618,control,31,116.7273
1618,control,32,116.5303
1618,control,33,115.5909
1618,control,34,114.0606
1618,control,35,111.6212
1618,control,36,109.3939
1618,control,37,107.7879
1618,control,38,106.5758
1618,control,39,106.1667
1618,control,40,105.803
1618,control,41,104.4091
1618,control,42,102.4242
1618,control,43,100.1364
1618,control,44,98.0152
1618,control,45,95.1818
1618,control,46,91.8182
1618,control,47,88
1618,control,48,83.0455
1618,control,49,78.303
1618,control,50,75.3636
1618,control,51,72.6667
1618,control,52,69.4848
1618,control,53,66.1061
1618,control,54,63.5303
1618,control,55,61.9697
1618,control,56,59.8485
1618,control,57,56.8485
1618,control,58,53.5303
1619,control,0,58.2154
1619,control,1,59.1077
1619,control,2,61.6
1619,control,3,64.5077
1619,control,4,67.3231
1619,control,5,71.2308
1619,control,6,76.2308
1619,control,7,81.6
1619,control,8,85.0923
1619,control,9,87.8462
1619,control,10,91.6
1619,control,11,95.3846
1619,control,12,99.1538
1619,control,13,102.2308
1619,control,14,103.2308
1619,control,15,104.4769
1619,control,16,106.3538
1619,control,17,108.5385
1619,control,18,110.0154
1619,control,19,111.1385
1619,control,20,111.9846
1619,control,21,111.8462
1619,control,22,110.9692
1619,control,23,110.5077
1619,control,24,111.5077
1619,control,25,113.0769
1619,control,26,115.6308
1619,control,27,118.6308
1619,control,28,122.2462
1619,control,29,125.6
1619,control,30,127.0154
1619,control,31,126.0769
1619,control,32,123.4923
1619,control,33,120.2923
1619,control,34,116.6615
1619,control,35,114.4923
1619,control,36,113.8154
1619,control,37,113.5077
1619,control,38,113.0462
1619,control,39,112.8
1619,control,40,112.6615
1619,control,41,112.3385
1619,control,42,112.5231
1619,control,43,111.7846
1619,control,44,109.6308
1619,control,45,107.7231
1619,control,46,108.7385
1619,control,47,112
1619,control,48,112.9077
1619,control,49,109.2462
1619,control,50,103.4462
1619,control,51,98.3846
1619,control,52,94.2923
1619,control,53,91.4923
1619,control,54,91.1231
1619,control,55,91.2154
1619,control,56,90.6462
1619,control,57,89.4462
1619,control,58,86.0615
1619,control,59,81.7846
1619,control,60,76.9692
1619,control,61,72.1077
1619,control,62,68.2
1619,control,63,64.6923
1619,control,64,60.2923
1619,control,65,57.1538
1620,control,0,53.2462
1620,control,1,53.9538
1620,control,2,54.6154
1620,control,3,56.1538
1620,control,4,58.7077
1620,control,5,61.2462
1620,control,6,63.4615
1620,control,7,66.6154
1620,control,8,69.8154
1620,control,9,72.7846
1620,control,10,75.8462
1620,control,11,79.3077
1620,control,12,83.1846
1620,control,13,85.7077
1620,control,14,87.5077
1620,control,15,89.8154
1620,control,16,93.8154
1620,control,17,97.2462
1620,control,18,99.6923
1620,control,19,100.5077
