ID,group,distance,intensity
1586,control,70,104.0714
1586,control,71,103.6786
1586,control,72,103
1586,control,73,101.3214
1586,control,74,100.1429
1586,control,75,98.5
1586,control,76,95.8929
1586,control,77,92.3929
1586,control,78,89.3929
1586,control,79,87.9286
1586,control,80,87.0357
1586,control,81,85.1786
1586,control,82,82.9643
1586,control,83,81.8571
1586,control,84,80.9286
1586,control,85,79.75
1586,control,86,77.9286
1586,control,87,75.8571
1586,control,88,74
1586,control,89,72.0714
1586,control,90,69.8214
1586,control,91,67.8214
1586,control,92,66.7857
1586,control,93,66
1586,control,94,64.8929
1586,control,95,62.6786
1586,control,96,59.5714
1586,control,97,55.6786
1586,control,98,52.5
1586,control,99,50.4286
1586,control,100,49.3929
1586,control,101,48.4286
1586,control,102,46.75
1586,control,103,45.2143
1586,control,104,43.7857
1586,control,105,42.5357
1586,control,106,42.3571
1586,control,107,42.3571
1586,control,108,42.1071
1586,control,109,40.6071
1586,control,110,38.5357
1586,control,111,37
1586,control,112,35.7143
1586,control,113,34.7143
1586,control,114,34.3214
1586,control,115,34.8214
1586,control,116,34.9286
1586,control,117,34.6071
1586,control,118,33.9286
1586,control,119,33.5
1586,control,120,33.4286
1586,control,121,33.6786
1586,control,122,33.4643
1586,control,123,32.75
1586,control,124,31.6786
1586,control,125,30.8571
1586,control,126,30.7143
1586,control,127,30.6071
1586,control,128,30.1071
1586,control,129,29.9643
1586,control,130,29.6071
1586,control,131,29.3571
1586,control,132,29.1071
1586,control,133,29.0357
1587,control,0,28.6
1587,control,1,29.3
1587,control,2,29.7
1587,control,3,29.8333
1587,control,4,30.0333
1587,control,5,30.1333
1587,control,6,30.4667
1587,control,7,30.7333
1587,control,8,31.0667
1587,control,9,31.2333
1587,control,10,31.3667
1587,control,11,32.1
1587,control,12,32.8333
1587,control,13,33.6
1587,control,14,34.5333
1587,control,15,34.6333
1587,control,16,35.3
1587,control,17,35.7
1587,control,18,36.2
1587,control,19,36
1587,control,20,35.6
1587,control,21,36.0667
1587,control,22,37.0667
1587,control,23,37.9333
1587,control,24,37.9333
1587,control,25,38.2333
1587,control,26,39.0667
1587,control,27,40
1587,control,28,40.2
1587,control,29,40.1
1587,control,30,40.1667
1587,control,31,40.2
1587,control,32,40.5333
1587,control,33,41.1333
1587,control,34,41.4333
1587,control,35,41.7333
1587,control,36,41.9667
1587,control,37,42.8
1587,control,38,43.5667
1587,control,39,44.7667
1587,control,40,46.6667
1587,control,41,48.7333
1587,control,42,49.8333
1587,control,43,50.3667
1587,control,44,50.4667
1587,control,45,50.4667
1587,control,46,51.0333
1587,control,47,51.8
1587,control,48,52.7333
1587,control,49,53.4
1587,control,50,53.6333
1587,control,51,54.5333
1587,control,52,55.9333
1587,control,53,57.3667
1587,control,54,58.9667
1587,control,55,59.7667
1587,control,56,60.6667
1587,control,57,62.4
1587,control,58,64.8667
1587,control,59,66.9
1587,control,60,68.7
1587,control,61,70.9667
1587,control,62,73.2667
1587,control,63,75.6667
1587,control,64,77.2333
1587,control,65,79.5333
1587,control,66,82.7667
1587,control,67,86.2667
1587,control,68,89.1333
1587,control,69,91.4
1587,control,70,93.4667
1587,control,71,94.8
1587,control,72,96.3
1587,control,73,96.7333
1587,control,74,96.7333
1587,control,75,96.9667
